text,label,subset
"Confidential Information does not include information, which is shown by clear and convincing evidence to be  (i) publicly available without breach by the receiving Party of its obligations to the disclosing Party under this Agreement;  (ii) known to the receiving Party prior to the disclosing Party's disclosure of such information to the receiving Party;  (iii) known to the receiving Party other than by the breach of an obligation of confidentiality owed to the disclosing Party under this Agreement from a source other than the disclosing Party;  (iv) independently developed by the receiving Party; ",Confidentiality Clause,test
"2. The Information shall include such proprietary and confidential information disclosed orally, by demonstration, or in writing at any time, and may include without limitation business plans, know-how, source code, algorithms, flow-charts, blueprints, and other information not readily available to the general public, whether or not protectable by patent, copyright or other forms of intellectual property law. ",Confidentiality Clause,train
"The Confidential Materials shall not include information that:  (i) is or becomes publicly available other than as a result of acts by Buyer in breach of this Agreement:  (ii) is in Buyer’s possession before disclosure by the Owner or is independently derived by Buyer without the aid, application or use of the Confidential Materials; ",Confidentiality Clause,train
"The term “Confidential Information” as used herein does not include any data or information which the receiving Party can demonstrate:  (a) is already known to the receiving Party on a nonproprietary basis at the time it is disclosed to the receiving Party;  (b) is or becomes generally known to the public through no wrongful act of the receiving Party or its representatives in violation of this Agreement;  (c) has been rightfully received by the receiving Party from a third party without restriction on disclosure and without, to H.I.G.’s knowledge, a breach of an obligation of confidentiality running directly to the providing Party, if any; ",Confidentiality Clause,train
5. Receiving Party shall have no obligations under this Agreement with respect to Confidential Information if it can demonstrate that the information:  (a) is publicly available at the time of disclosure;  (b) becomes publicly available after disclosure through no act of the receiving party or its representatives;  (c) is in the receiving party’s possession free of obligation;  (d) is developed by the receiving party without use of the Confidential Information or through other breach of this Agreement;  (e) is disclosed to the receiving party by a third party without obligation; ,Confidentiality Clause,test
"Recipient may use and disclose the Confidential Information among its internal information technology and management staff for its own internal business purposes.  Either party may also disclose on the TTP mailing list Confidential Information previously received on the TTP mailing list or during TTP meetings.  Micro Focus may post for use of the TTP program a list of the organizations and individuals that have signed a Micro Focus TTP Non-disclosure Agreement. 4. Obligation of Confidentiality.  For a period of 3 years from the date of disclosure, Recipient agrees to use the same care and discretion as it uses with its own confidential information to avoid, except as expressly permitted in this Agreement, disclosure or publication of Discloser’s Confidential Information.  At a minimum shall Recipient use reasonable care to protect Confidential Information. 5. Ownership.  All Confidential Information remains the property of the Discloser and/or its licensors. 6. Freedom of Use.  Recipient shall be free to use for any purposes Residuals resulting from access to or work with Discloser’s Confidential Information. ",Confidentiality Clause,train
" A ""representative"" is an employee, contractor, advisor or consultant of one of us or one of our respective affiliates.  Each of us may disclose the other's confidential information to our representatives (who may then disclose that confidential information to other of our representatives) only if those representatives have a need to know about it for purposes of our business relationship with each other. ",Confidentiality Clause,test
"Sellers shall not disclose or appropriate for their own use, or for the use of any third party, at any time, any trade secrets or confidential or proprietary information included in or related to the Acquired Assets or the Business as previously operated by Sellers, whether or not developed by Sellers including, without limitation, information pertaining to the customers, vendors, prices, profits, contract terms or operating procedures of Sellers relating to the Business or the Acquired Assets; provided, however, that Sellers may use any such trade secrets and confidential or proprietary information  (a) if and to the extent used in their businesses other than the Business and  (b) in connection with providing services pursuant to the Transition Services Agreement.",Confidentiality Clause,train
"Ross & Moncure shall process information and data provided in accordance with the instructions given by the Client and shall refrain from recording, reproducing, or storing data for superfluous reasons. ",Confidentiality Clause,train
"5. Any disclosure of Confidential Information shall be limited SUPPLIER’s employees and who have a need to use or study such Confidential Information for the Purpose.  SUPPLIER shall advise its employees and agents of its obligations pursuant to this Agreement, but SUPPLIER shall remain responsible to ensure their compliance.",Confidentiality Clause,train
"2. Without the prior written consent of the other Party or except as otherwise provided herein, neither COMPANY nor XPLORE will:  (i) distribute or disclose to any other person any of the other Party’s Information;  (ii) permit any other person to have access to the other Party’s Information;  (iii) use the other Party’s Information for any purpose other than the Permitted Use;  (iv)  (A) use the other Party’s Information in any way that would allow it to obtain a competitive advantage with respect to such Party or  (B) reverse engineer such other Party’s Information; or ",Confidentiality Clause,train
"The term ""Evaluation Material"" does not include information which  (i) is or becomes generally available to the public other than as a result of a breach of this Agreement by the receiving party or its Representatives;  (ii) was within the receiving party's possession prior to its being furnished to the receiving party by or on behalf of the disclosing party, provided that the source of such information was not known by the receiving party to be bound by a confidentiality agreement with, or other contractual, legal or fiduciary obligation of confidentiality to, the disclosing party or any other party with respect to such information;  (iii) is or becomes available to the receiving party on a non-confidential basis from a source other than the disclosing party, or any of its Representatives, provided that such source was not known by the receiving party to be bound by a confidentiality agreement with, or other contractual, legal or fiduciary obligation of confidentiality to, the disclosing party or any other party with respect to such information; ",Confidentiality Clause,train
"Recipient shall restrict any and all circulation of Confidential Information to a limited number of its employees on a ""need to know basis"" for the exclusive purpose of reviewing the Confidential Information for the Purpose of this Agreement. ",Confidentiality Clause,train
"4. The Recipient undertakes to keep the Confidential Information disclosed by the other party secure and not to disclose it to any third party [except to its employees [and professional advisers] who need to know the same for the Purpose, who know they owe a duty of confidence to the other party and who are bound by obligations equivalent to those in clause 3 above and this clause 4.",Confidentiality Clause,train
"Ross & Moncure does not agree to hand back and destroy copies of completed tax returns, as the American Institute of Certified Public Accountants and the Association for Accounting Administration both dictate that best practice is to keep this work on hand.",Confidentiality Clause,train
"Writer will disclose the Confidential Information to Producer solely for the purpose of allowing Producer to evaluate the Submission to determine, in its sole discretion, whether the Submission may be further developed into a Project. 3. 4.  Producer agrees to accept disclosure of the Confidential Information and to exercise the same degree of care to maintain the Confidential Information secret and confidential as is employed by Producer to preserve and safeguard its own materials and confidential information. 4. 5.  The Confidential Information shall remain the property of Writer and shall not be disclosed or revealed by Producer or anyone else except employees of Producer who have a need to know the information in connection with Producer’s evaluation of the Submission, and who have entered into a secrecy agreement with Producer under which such employees are required to keep confidential the Confidential Information of Writer, and such employees shall be advised by Producer of the confidential nature of the information and that the information shall be treated accordingly.  Producer shall be liable for any improper disclosure of the Confidential Information by its employees.   .6.  (i) Producer shall notify Writer of any determination it may arrive at with respect to the further development of the submission, provided, however, that, in doing so, Producer shall not directly or indirectly disclose any Confidential Information to any third party, without the consent of Writer.  . (ii) If Producer determines that the Submission cannot be further developed into a Project, within <….> months of the receipt of the Submission, Producer shall within five (5) business days after such determination return any and all Confidential Information to Writer, along with all copies or derivatives thereof and all writings generated by Producer in connection with Producer’s evaluation of the Submission or the Confidential Information. 5. 7.  If Producer determines that the Submission is suitable for further development into a Project, Producer and Writer will attempt to agree on a schedule for development, and compensation to Writer for the submission. 6. 8.  Other than as specifically provided herein, Producer will not use the Confidential Information for any purpose whatsoever other than for the sole purpose permitted in paragraph 3 hereof, unless and until a further executed agreement is first made between the parties setting forth the terms and conditions under which rights to the Submission and the Confidential Information are to be licensed to, or acquired by, Producer.",Confidentiality Clause,train
"The obligation of confidentiality set out in this Agreement shall not apply to any Confidential Information that: a) was known to the Receiving Party prior to such disclosure by the Disclosing Party, as evidenced by documentary or other physical evidence; b) was public knowledge at the time of such disclosure to the Receiving Party, or becomes public knowledge after such disclosure, through no action or omission by or on behalf of the Receiving Party; c) is lawfully disclosed or made available to the Receiving Party by a third party having no obligation to the Disclosing Party to maintain the confidentiality of such information; d) was independently developed or derived by the Receiving Party without the aid, application or use of information furnished by the Disclosing Party, as evidenced by documentary or other physical evidence;",Confidentiality Clause,dev
"2. Notwithstanding any other provision of this Agreement, the Parties acknowledge that Confidential information shall not include any information that: a) Is or becomes publicly available without breach of this Agreement b) Becomes lawfully available to either Party from a third party free from any confidentiality restriction. c) Is required to be disclosed under any relevant law, regulation or order of court, provided the affected Party is given prompt notice of such requirement or such order and (where possible) and provided the opportunity to contest it as per applicable law, and the scope of such disclosure is limited to the extent possible",Confidentiality Clause,train
"(7) The following information provided by the Company shall not be deemed Confidential Evaluation Material:  (A) any information that is or becomes generally available to the public other than as a result of an improper disclosure by you or your representatives;  (B) any information which becomes legally available to you from a source other than the Company that is not, to your knowledge after reasonable inquiry, bound by a confidentiality obligation to the Company; ",Confidentiality Clause,train
"Upon written request by Client at any time, Chemsultants shall promptly return all Confidential Information, including all copies, reproductions, summaries, analyses or extracts thereof or based thereon in the party’s possession or in the possession of any Representative of the party, provided, however, Chemsultants shall be permitted to charge Client for all reasonable costs incurred by Chemsultants for compliance with this Section.",Confidentiality Clause,train
"2. Upon receipt of any Confidential Information, Receiving Party shall: (a) only disclose such Confidential Information to those of its Representatives with a need to have access to and knowledge of the Confidential Information for the limited purpose expressly stated herein and not disclose to any other person except with the prior written approval of Disclosing Party; (b) advise any of its Representatives who receive the Confidential Information of the existence and terms of this Agreement and of the obligations of confidentiality and non-disclosure herein; cause its Representatives to comply with this Agreement as if they were parties hereto; and be responsible for any breach of this Agreement by its Representatives; (c) use and require its Representatives to use at least the same degree of care to protect the Confidential Information as they use to protect their own proprietary information, which degree of care shall not be less than reasonable care; and (d) use, and require its  Representatives to use, the Confidential Information only for the purpose expressly stated herein; provided that nothing in this Agreement is intended to limit or prevent either Party from continuing to operate its business in the ordinary course, including conducting business with any person who happens also to be a customer or vendor of the other Party.",Confidentiality Clause,dev
"4. The terms of this Agreement shall not be construed to limit either Party’s right to develop independently or acquire products without use of the other Party’s Confidential Information.  The disclosing party acknowledges that the Recipient may currently or in the future be developing information internally, or receiving information from other parties, that is similar to the Confidential Information.  Nothing in this Agreement will prohibit the Recipient from developing or having developed for it products, concepts, systems or techniques that are similar to or compete with the products, concepts, systems or techniques contemplated by or embodied in the Confidential Information provided that the Recipient does not violate any of its obligations under this Agreement in connection with such development. 5. Notwithstanding the above, the Parties agree that information shall not be deemed Confidential Information and the Recipient shall have no obligation to hold in confidence such information, where such information: (a) Is already known to the Recipient, having been disclosed to the Recipient by a third party without such third party having an obligation of confidentiality to the disclosing Party; or",Confidentiality Clause,train
Confidential Information shall not include information that: a. is or becomes known publicly through no fault of the Recipient; or b. is learned by the Recipient from a third party not under an obligation of confi-dence to the Discloser and who has legitimate and legal possession of the informa-tion; or c. is already known to the Recipient before receipt from the Discloser as can be proven by written records; or d. is independently developed by employees or consultants of the Recipient who did not have access to any Confidential Information received;,Confidentiality Clause,train
"3. All materials transmitted from one party to the other and containing proprietary information shall remain the property of the transferor and shall be returned upon request, and receipt of such materials agrees not to reproduce said materials without written consent of the transferor of the materials.",Confidentiality Clause,train
3. Disclosing Party acknowledges that the Agreement does not apply to Information which: a. is at the time of its disclosure publicly known through no wrongful act of Receiving Party; b. is known to Receiving Party at the time of disclosure; c. is independently developed by Receiving Party without use of Information;,Confidentiality Clause,train
"2. Subject to the provisions of paragraphs 3 and 4 of this Agreement,  (i) Company, as recipient of Confidential Information from or on behalf of Verenium, shall use such Confidential Information solely for the Purpose and for no other purpose or use, and ",Confidentiality Clause,test
The receiving party will not be liable for the disclosure of any Confidential Information which is: (a) generally made available publicly or to third parties by the disclosing party without restriction on disclosure; (b) rightfully received from a third party without any obligation of confidentiality;,Confidentiality Clause,dev
"Subject to Section 5, each Party agrees that, without the prior written consent of the other Party, such Party and its Representatives will not disclose to any other Person  (i) that Evaluation Material has been exchanged between the Parties,  (ii) that discussions or negotiations are taking place between the Parties concerning a Possible Transaction or  (iii) any of the terms, conditions or other facts with respect thereto (including the status thereof); provided, however, that JDA may make such disclosure if it does not identify RHI by name or by identifiable description. ",Confidentiality Clause,train
"1. In respect of all Confidential Information in whatever form acquired prior to or during the period of this Agreement by one party (the “Receiving Party”) from the other party (the “Disclosing Party”) relating to the Purpose, the Receiving Party undertakes:- A. Only to use the information for evaluating or preparing quotation in respect and/or evaluation of the Purpose.",Confidentiality Clause,train
"3.1. In the interest of the protection and maintenance of the Protectable Interests, each party undertakes that it shall not, at any time whatsoever and notwithstanding the termination of the business relationship and/or negotiations between the parties for whatsoever reason, without the prior written consent of the other party: 3.1.1. use, disclose or divulge, whether directly or indirectly, the Confidential Information to any person (whether in the other party’s employ or not) or to any person or entity which is not a party to the agreement;",Confidentiality Clause,train
"The Restricted Party shall not, directly or indirectly, other than on behalf of the Alliqua Entities, utilize, disclose or make available to any other person or entity, any of the Confidential Information. ",Confidentiality Clause,train
"(a) Confidential Information shall not be copied or reproduced by the Receiving Party, except for such copies as may be reasonably required for accomplishment of the purposes stated herein;",Confidentiality Clause,train
"3. The parties shall: (a) not disclose any Confidential Information obtained from the other party to any person or entity without the prior written permission of the other party; and, (b) not take, copy, or retain any Confidential Information in any written, electronic, or physical form whatsoever without the written permission of the other party; and, (c) return any Confidential Information in any written, electronic, or physical form whatsoever in his or her possession, or to delete forever any Confidential Information that he or she may have stored on a computer or other device, at the request of the other party, except that each party may keep one copy in its confidential legal files for the purpose of assuring compliance with this agreement. 4. Notwithstanding the duty of non-disclosure in paragraph 3, the parties may disclose Confidential Information to their directors, officers, employees, advisors and representatives, provided that these persons are bound by the duty of non-disclosure in this agreement and are informed of this duty.",Confidentiality Clause,train
"If Sensitive Information is transmitted orally, the Disclosing Party shall promptly provide a writing indicating that such oral communication constituted Sensitive Information.",Confidentiality Clause,test
"In the event that the Receiving Party is required to disclose any portion of any Confidential Information of the Disclosing Party  (i) by operation of law or in connection with a judicial or governmental proceeding or arbitration (whether by oral questions, interrogatories, requests for information, subpoena, civil investigative demand or similar process),  (ii) pursuant to the rules or regulations of the United States Securities and Exchange Commission (or any other applicable securities regulatory body) or  (iii) pursuant to the rules or regulations of any securities exchange on which the Receiving Party’s or its parent company’s securities are listed or similar self-regulatory body, then such disclosure will be permissible only if and after the Receiving Party promptly notifies the Disclosing Party of such requirement (to the extent legally permitted) so that the Disclosing Party (at its sole cost and expense) may seek an appropriate protective order or other appropriate remedy and/or waive compliance with the provisions of this Agreement. ",Confidentiality Clause,train
"Recipient may disclose CI  (A) as approved in a writing signed by Discloser or  (B) as necessary to respond to a valid order by a court or other governmental body, as required by law, or as necessary to establish the rights of either party, provided that Recipient promptly notifies Discloser upon receipt of the disclosure order and requests confidential treatment of any affected CI.",Confidentiality Clause,dev
"(i) all data and information, in whatever form communicated or maintained, whether orally, in writing, electronically, in computer readable form or otherwise, that the Receiver or any of its Representatives (in each case on behalf of the Company) and/or the Company or any of the Company's Representatives discloses or has disclosed to, or that is gathered by inspection by, the Recipient or any of the Recipient's Representatives, whether provided before or after the date of this Agreement, including, information that contains or otherwise reflects information concerning the Company, the Assets, the business or affairs, operations, prospects, activities, and intellectual property rights of the Company and specifically includes, without limitation, all data, records, reports, studies, projections, knowledge, patents, theories, information (financial, corporate, business or otherwise), intellectual property, designs, drawings, plans, opportunities, prototypes, specifications, manuals, photographs, software, hardware, equipment, printouts, reports, market research, business plans, customer lists, supply sources, trade secrets, information relating to existing and potential financiers and investors, trade lists, processes, techniques, ideas, improvements, innovations, know-how, research and development, calculations, opinions, and documents, and any information provided to the Receiver, the Company or any of their Representatives by third parties under circumstances in which the Receiver, the Company or any of their respective Representatives has an obligation to protect the confidentiality of such information, including all information received by the Receiver and/or the Receiver's Representatives (on behalf of the Company) or the Company in connection with the Company, the Assets, or its business and disclosed and communicated to, or gathered by, the Recipient or any of the Recipient's Representatives;",Confidentiality Clause,test
"Promptly upon the written request of the Company, the Receiving Party will return or destroy, at its sole option, all copies of the Confidential Information to the Company, and all notes, studies, reports, memoranda and other documents prepared by the Receiving Party or its Representatives that contain or reflect to a substantial degree any Confidential Information. ",Confidentiality Clause,train
"The confidentiality obligations hereunder shall not apply to Confidential Information which: A. is, or later becomes, public knowledge other than by breach of the provisions of this Agreement; or B. is in the possession of the Party with the full right to disclose prior to its receipt from the Disclosing Party, as evidenced by written records; or C. is independently received by the Receiving Party from a third party, with no restrictions on disclosure.",Confidentiality Clause,train
"“Confidential Information” includes, without limitation, information relating to released or unreleased NUSD mailing lists or contact lists and the marketing or promotion of any NUSD event, information of a confidential nature of, about, or concerning the students or personnel of NUSD, business of NUSD or its manner of operation, which may include Proprietary Information, such as student records, tax records and other financial information concerning NUSD and NUSD's employees, officers, directors, shareholders, students, lists or other written records used in NUSD's operations, investment information, compensation paid to employees and other terms of employment, personnel records, and information received by NUSD from third parties subject to NUSD's duty to maintain the confidentiality of such information and to use it only for certain limited purposes. (a) “Confidential Information” shall include all personally identifiable student information protected under the Family Rights and Privacy Act (FERPA), California Education Code 49073.1, and NUSD Board Policy 5125.",Confidentiality Clause,train
"In the event that the Recipient or its directors, officers, employees, consultants or agents are requested or required by legal process to disclose any of the Confidential Information, the Recipient shall give prompt notice so that the Discloser may seek a protective order or other appropriate relief. ",Confidentiality Clause,train
